commodity,country,port,country_code,price_usd_per_tonne,freight_usd_per_tonne,currency,unit,last_updated,price_inr_per_tonne,freight_inr_per_tonne
Maize,Japan,Yokohama,JP,218.51,45.94,USD,tonne,2025-11-03,18180.03,3822.21
Maize,Singapore,Singapore Port,SG,201.81,34.25,USD,tonne,2025-11-07,16790.59,2849.6
Soybean,India,Mumbai Port,IN,580.16,51.91,USD,tonne,2025-11-01,48269.31,4318.91
Soybean,India,Chennai Port,IN,567.28,79.29,USD,tonne,2025-11-01,47197.7,6596.93
Soybean,USA,New Orleans,US,611.2,19.8,USD,tonne,2025-11-01,50851.84,1647.36
Soybean,USA,Houston,US,552.49,16.51,USD,tonne,2025-11-03,45967.17,1373.63
Soybean,Brazil,Santos Port,BR,494.64,64.22,USD,tonne,2025-11-02,41154.05,5343.1
Soybean,Brazil,Paranaguá Port,BR,522.78,22.06,USD,tonne,2025-11-02,43495.3,1835.39
Soybean,Russia,Novorossiysk,RU,518.52,15.59,USD,tonne,2025-11-03,43140.86,1297.09
Soybean,Russia,Vladivostok,RU,484.5,20.85,USD,tonne,2025-11-08,40310.4,1734.72
Soybean,Australia,Fremantle Port,AU,502.25,59.18,USD,tonne,2025-11-03,41787.2,4923.78
Soybean,Australia,Sydney Port,AU,468.5,58.8,USD,tonne,2025-11-05,38979.2,4892.16
Soybean,China,Shanghai Port,CN,552.79,69.7,USD,tonne,2025-11-04,45992.13,5799.04
Soybean,China,Tianjin Port,CN,573.07,44.9,USD,tonne,2025-11-04,47679.42,3735.68
Soybean,UAE,Jebel Ali,AE,565.64,33.18,USD,tonne,2025-11-06,47061.25,2760.58
Soybean,UAE,Fujairah Port,AE,618.83,69.77,USD,tonne,2025-11-03,51486.66,5804.86
Soybean,South Africa,Durban Port,ZA,501.13,73.45,USD,tonne,2025-11-02,41694.02,6111.04
Soybean,Egypt,Alexandria Port,EG,544.36,22.42,USD,tonne,2025-11-03,45290.75,1865.34
Soybean,Argentina,Buenos Aires,AR,491.49,70.79,USD,tonne,2025-11-08,40891.97,5889.73
Soybean,Indonesia,Jakarta Port,ID,480.95,67.1,USD,tonne,2025-11-03,40015.04,5582.72
Soybean,Vietnam,Ho Chi Minh City,VN,438.5,73.34,USD,tonne,2025-11-01,36483.2,6101.89
Soybean,France,Le Havre,FR,495.0,75.46,USD,tonne,2025-11-01,41184.0,6278.27
Soybean,Germany,Hamburg,DE,473.12,29.85,USD,tonne,2025-11-04,39363.58,2483.52
Soybean,Bangladesh,Chittagong Port,BD,551.38,57.48,USD,tonne,2025-11-03,45874.82,4782.34
Soybean,Japan,Yokohama,JP,492.7,24.9,USD,tonne,2025-11-05,40992.64,2071.68
Soybean,Singapore,Singapore Port,SG,496.5,62.83,USD,tonne,2025-11-01,41308.8,5227.46
Rice,India,Mumbai Port,IN,364.89,66.36,USD,tonne,2025-11-01,30358.85,5521.15
Rice,India,Chennai Port,IN,452.74,71.64,USD,tonne,2025-11-01,37667.97,5960.45
Rice,USA,New Orleans,US,452.92,65.04,USD,tonne,2025-11-04,37682.94,5411.33
Rice,USA,Houston,US,355.17,48.89,USD,tonne,2025-11-08,29550.14,4067.65
Rice,Brazil,Santos Port,BR,416.05,46.16,USD,tonne,2025-11-02,34615.36,3840.51
Rice,Brazil,Paranaguá Port,BR,448.44,69.13,USD,tonne,2025-11-06,37310.21,5751.62
Rice,Russia,Novorossiysk,RU,343.74,20.49,USD,tonne,2025-11-04,28599.17,1704.77
Rice,Russia,Vladivostok,RU,342.78,71.06,USD,tonne,2025-11-03,28519.3,5912.19
Rice,Australia,Fremantle Port,AU,399.93,25.69,USD,tonne,2025-11-04,33274.18,2137.41
Rice,Australia,Sydney Port,AU,424.62,72.13,USD,tonne,2025-11-02,35328.38,6001.22
Rice,China,Shanghai Port,CN,380.43,39.46,USD,tonne,2025-11-04,31651.78,3283.07
Rice,China,Tianjin Port,CN,422.7,63.3,USD,tonne,2025-11-08,35168.64,5266.56
Rice,UAE,Jebel Ali,AE,412.6,53.41,USD,tonne,2025-11-04,34328.32,4443.71
Rice,UAE,Fujairah Port,AE,354.12,16.05,USD,tonne,2025-11-06,29462.78,1335.36
Rice,South Africa,Durban Port,ZA,395.75,70.25,USD,tonne,2025-11-07,32926.4,5844.8
Rice,Egypt,Alexandria Port,EG,352.1,29.22,USD,tonne,2025-11-02,29294.72,2431.1
Rice,Argentina,Buenos Aires,AR,445.67,32.43,USD,tonne,2025-11-04,37079.74,2698.18
Rice,Indonesia,Jakarta Port,ID,456.29,52.19,USD,tonne,2025-11-07,37963.33,4342.21
Rice,Vietnam,Ho Chi Minh City,VN,368.34,79.94,USD,tonne,2025-11-07,30645.89,6651.01
Rice,France,Le Havre,FR,441.68,64.7,USD,tonne,2025-11-06,36747.78,5383.04
Rice,Germany,Hamburg,DE,461.36,23.13,USD,tonne,2025-11-04,38385.15,1924.42
Rice,Bangladesh,Chittagong Port,BD,347.35,62.25,USD,tonne,2025-11-06,28899.52,5179.2
Rice,Japan,Yokohama,JP,366.06,65.71,USD,tonne,2025-11-08,30456.19,5467.07
Rice,Singapore,Singapore Port,SG,385.33,65.56,USD,tonne,2025-11-01,32059.46,5454.59
Cotton,India,Mumbai Port,IN,1990.77,11.35,USD,tonne,2025-11-07,165632.06,944.32
Cotton,India,Chennai Port,IN,1953.66,62.19,USD,tonne,2025-11-02,162544.51,5174.21
Cotton,USA,New Orleans,US,1756.27,51.37,USD,tonne,2025-11-05,146121.66,4273.98
Cotton,USA,Houston,US,1531.67,58.21,USD,tonne,2025-11-06,127434.94,4843.07
Cotton,Brazil,Santos Port,BR,1774.76,25.23,USD,tonne,2025-11-04,147660.03,2099.14
Cotton,Brazil,Paranaguá Port,BR,1815.35,74.72,USD,tonne,2025-11-05,151037.12,6216.7
Cotton,Russia,Novorossiysk,RU,1670.22,66.21,USD,tonne,2025-11-08,138962.3,5508.67
Cotton,Russia,Vladivostok,RU,1756.6,39.3,USD,tonne,2025-11-04,146149.12,3269.76
Cotton,Australia,Fremantle Port,AU,1752.81,69.44,USD,tonne,2025-11-07,145833.79,5777.41
Cotton,Australia,Sydney Port,AU,1510.0,77.54,USD,tonne,2025-11-08,125632.0,6451.33
Cotton,China,Shanghai Port,CN,1761.64,47.03,USD,tonne,2025-11-04,146568.45,3912.9
Cotton,China,Tianjin Port,CN,1501.11,73.1,USD,tonne,2025-11-08,124892.35,6081.92
Cotton,UAE,Jebel Ali,AE,1847.25,49.11,USD,tonne,2025-11-05,153691.2,4085.95
Cotton,UAE,Fujairah Port,AE,1554.35,30.24,USD,tonne,2025-11-08,129321.92,2515.97
Cotton,South Africa,Durban Port,ZA,1895.93,40.81,USD,tonne,2025-11-03,157741.38,3395.39
Cotton,Egypt,Alexandria Port,EG,1795.15,27.84,USD,tonne,2025-11-05,149356.48,2316.29
Cotton,Argentina,Buenos Aires,AR,1972.33,68.98,USD,tonne,2025-11-04,164097.86,5739.14
Cotton,Indonesia,Jakarta Port,ID,1611.25,27.63,USD,tonne,2025-11-08,134056.0,2298.82
Cotton,Vietnam,Ho Chi Minh City,VN,1869.74,40.84,USD,tonne,2025-11-08,155562.37,3397.89
Cotton,France,Le Havre,FR,1736.42,76.5,USD,tonne,2025-11-02,144470.14,6364.8
Cotton,Germany,Hamburg,DE,2041.17,21.95,USD,tonne,2025-11-07,169825.34,1826.24
Cotton,Bangladesh,Chittagong Port,BD,1774.82,57.74,USD,tonne,2025-11-04,147665.02,4803.97
Cotton,Japan,Yokohama,JP,1625.84,74.53,USD,tonne,2025-11-02,135269.89,6200.9
Cotton,Singapore,Singapore Port,SG,1578.66,72.39,USD,tonne,2025-11-06,131344.51,6022.85
